RA,Dec
130.53088537640855,-17.579765332179115
130.5297384813394,-17.579765468604148
130.52859158625174,-17.579765598419083
130.52744469114648,-17.57976572162392
130.52629779602458,-17.579765838218687
130.52515090088693,-17.57976594820332
130.52400400573444,-17.579766051577884
130.52285711056803,-17.579766148342323
130.5217102153886,-17.579766238496674
130.5205633201971,-17.579766322040925
130.5194164249945,-17.57976639897508
130.5182695297816,-17.57976646929914
130.51712263455943,-17.579766533013103
130.5159757393288,-17.57976659011695
130.51482884409074,-17.57976664061071
130.5136819488461,-17.579766684494377
130.51253505359583,-17.579766721767925
130.51138815834082,-17.57976675243138
130.510241263082,-17.57976677648473
130.50909436782032,-17.57976679392799
130.50794747255668,-17.579766804761153
130.50680057729198,-17.579766808984186
130.50565368202714,-17.579766806597146
130.5045067867631,-17.579766797600012
130.50335989150076,-17.579766781992763
130.50221299624107,-17.579766759775417
130.50106610098493,-17.579766730947966
130.49991924619368,-17.57867336430601
130.49991924619368,-17.57867336430601
130.49877235785058,-17.578673322261146
130.49762552377993,-17.57757994235052
130.49762557804547,-17.576486611037463
130.49762557804547,-17.576486611037463
130.496478703522,-17.576486555780615
130.49533182900672,-17.576486493914942
130.49418502947415,-17.57539309408363
130.4953319651474,-17.574299831136752
130.4953319651474,-17.574299831136752
130.49533203321647,-17.57320649966549
130.49533210128476,-17.572113168140454
130.49533210128476,-17.572113168140454
130.49418532935988,-17.571019768110695
130.49418532935988,-17.571019768110695
130.4930385712492,-17.569926361431705
130.4930385712492,-17.569926361431705
130.49189182695338,-17.568832948105573
130.49189191572546,-17.567739616388447
130.49189191572546,-17.567739616388447
130.49074519214642,-17.566646196373377
130.49074519214642,-17.566646196373377
130.48959848238343,-17.56555276971666
130.48959848238343,-17.56555276971666
130.48845167696197,-17.565552668265532
130.48730487155507,-17.565552560209987
130.48615818944307,-17.564459113719643
130.4873051043083,-17.56336589648661
130.4873051043083,-17.56336589648661
130.4873052206828,-17.56227256455465
130.48730533705591,-17.561179232576908
130.4873054534276,-17.560085900554192
130.4873054534276,-17.560085900554192
130.48615880581792,-17.55899245387293
130.48615892908845,-17.55789912177023
130.48615892908845,-17.55789912177023
130.48501217202647,-17.557899000562124
130.4838655520539,-17.556805540623905
130.4838655520539,-17.556805540623905
130.4827189459009,-17.555712074060363
130.48386582619312,-17.55461887624171
130.48501256253346,-17.55461900402572
130.48615929889112,-17.554619125209705
130.48615929889112,-17.554619125209705
130.48615929889112,-17.554619125209705
